model_name,max_new_tokens,temperature,top_p,top_k,repetition_penalty,unique_name,raw_prompt,thought,emotion,prompt
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",The cashier at the bagel store messed up my order. It's because they hate me and want me to stop coming to the shop.,anxiety,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anxiety. 2) The provided distorted cognition sentence, ""The cashier at the bagel store messed up my order. It's because they hate me and want me to stop coming to the shop.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",The cashier at the bagel store messed up my order. It's because they hate me and want me to stop coming to the shop.,disappointment,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel disappointment. 2) The provided distorted cognition sentence, ""The cashier at the bagel store messed up my order. It's because they hate me and want me to stop coming to the shop.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",The cashier at the bagel store messed up my order. It's because they hate me and want me to stop coming to the shop.,helplessness,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel helplessness. 2) The provided distorted cognition sentence, ""The cashier at the bagel store messed up my order. It's because they hate me and want me to stop coming to the shop.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",One of my cats is sick so I'll never adopt another one as they will probably wind up being unhealthy as well.,Depression,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel Depression. 2) The provided distorted cognition sentence, ""One of my cats is sick so I'll never adopt another one as they will probably wind up being unhealthy as well.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",One of my cats is sick so I'll never adopt another one as they will probably wind up being unhealthy as well.,anger,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anger. 2) The provided distorted cognition sentence, ""One of my cats is sick so I'll never adopt another one as they will probably wind up being unhealthy as well.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",One of my cats is sick so I'll never adopt another one as they will probably wind up being unhealthy as well.,anxiety,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anxiety. 2) The provided distorted cognition sentence, ""One of my cats is sick so I'll never adopt another one as they will probably wind up being unhealthy as well.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",One of my cats is sick so I'll never adopt another one as they will probably wind up being unhealthy as well.,disappointment,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel disappointment. 2) The provided distorted cognition sentence, ""One of my cats is sick so I'll never adopt another one as they will probably wind up being unhealthy as well.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",One of my cats is sick so I'll never adopt another one as they will probably wind up being unhealthy as well.,helplessness,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel helplessness. 2) The provided distorted cognition sentence, ""One of my cats is sick so I'll never adopt another one as they will probably wind up being unhealthy as well.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",My new boyfriend is going to dump me once they find out I'm a vegan.,Depression,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel Depression. 2) The provided distorted cognition sentence, ""My new boyfriend is going to dump me once they find out I'm a vegan.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",My new boyfriend is going to dump me once they find out I'm a vegan.,anger,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anger. 2) The provided distorted cognition sentence, ""My new boyfriend is going to dump me once they find out I'm a vegan.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",My new boyfriend is going to dump me once they find out I'm a vegan.,anxiety,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anxiety. 2) The provided distorted cognition sentence, ""My new boyfriend is going to dump me once they find out I'm a vegan.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",My new boyfriend is going to dump me once they find out I'm a vegan.,disappointment,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel disappointment. 2) The provided distorted cognition sentence, ""My new boyfriend is going to dump me once they find out I'm a vegan.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",My new boyfriend is going to dump me once they find out I'm a vegan.,helplessness,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel helplessness. 2) The provided distorted cognition sentence, ""My new boyfriend is going to dump me once they find out I'm a vegan.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.","I can't find my paint brush, someone must have broke into my house and stolen it.",Depression,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel Depression. 2) The provided distorted cognition sentence, ""I can't find my paint brush, someone must have broke into my house and stolen it.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.","I can't find my paint brush, someone must have broke into my house and stolen it.",anger,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anger. 2) The provided distorted cognition sentence, ""I can't find my paint brush, someone must have broke into my house and stolen it.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.","I can't find my paint brush, someone must have broke into my house and stolen it.",anxiety,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anxiety. 2) The provided distorted cognition sentence, ""I can't find my paint brush, someone must have broke into my house and stolen it.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.","I can't find my paint brush, someone must have broke into my house and stolen it.",disappointment,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel disappointment. 2) The provided distorted cognition sentence, ""I can't find my paint brush, someone must have broke into my house and stolen it.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.","I can't find my paint brush, someone must have broke into my house and stolen it.",helplessness,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel helplessness. 2) The provided distorted cognition sentence, ""I can't find my paint brush, someone must have broke into my house and stolen it.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",I still like unicorns even though I am an adult. It's because I act like a child.,Depression,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel Depression. 2) The provided distorted cognition sentence, ""I still like unicorns even though I am an adult. It's because I act like a child.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",I still like unicorns even though I am an adult. It's because I act like a child.,anger,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anger. 2) The provided distorted cognition sentence, ""I still like unicorns even though I am an adult. It's because I act like a child.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",I still like unicorns even though I am an adult. It's because I act like a child.,anxiety,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anxiety. 2) The provided distorted cognition sentence, ""I still like unicorns even though I am an adult. It's because I act like a child.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",I still like unicorns even though I am an adult. It's because I act like a child.,disappointment,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel disappointment. 2) The provided distorted cognition sentence, ""I still like unicorns even though I am an adult. It's because I act like a child.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",I still like unicorns even though I am an adult. It's because I act like a child.,helplessness,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel helplessness. 2) The provided distorted cognition sentence, ""I still like unicorns even though I am an adult. It's because I act like a child.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",My family almost died in a fire. I am careless and should have been paying attention instead of reading.,Depression,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel Depression. 2) The provided distorted cognition sentence, ""My family almost died in a fire. I am careless and should have been paying attention instead of reading.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",My family almost died in a fire. I am careless and should have been paying attention instead of reading.,anger,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anger. 2) The provided distorted cognition sentence, ""My family almost died in a fire. I am careless and should have been paying attention instead of reading.,"" must be included in their writing. 3) Provide only the generated text as a response."
meta-llama/Llama-3.2-1B-Instruct,1024,,,,,meta-llama/Llama-3.2-1B-Instruct_1024_N_N_N_N,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel {emotion}. 2) The provided distorted cognition sentence, ""{distorted_thought},"" must be included in their writing. 3) Provide only the generated text as a response.",My family almost died in a fire. I am careless and should have been paying attention instead of reading.,anxiety,"Write a 4-6 sentence paragraph based on the following conditions: 1) The paragraph should be written from the perspective of someone receiving psychological counseling, describing a situation where they feel anxiety. 2) The provided distorted cognition sentence, ""My family almost died in a fire. I am careless and should have been paying attention instead of reading.,"" must be included in their writing. 3) Provide only the generated text as a response."
